DAZ    	  122449	 C2H4   	  166095	  0.40472
DAZ    	  122469	 C2H4   	  226836	  0.41449
DAZ    	  122472	 C2H4   	  257022	  0.38962
DAZ    	  122479	 C2H4   	  279890	  0.40237
DAZ    	  122499	 C2H4   	  196279	  0.39115
DAZ    	  122502	 C2H4   	  264625	  0.39975
DAZ    	  122532	 C2H4   	  171120	  0.41376
DAZ    	  122539	 C2H4   	  202457	  0.39862
DAZ    	  122552	 C2H4   	  202583	  0.41219
DAZ    	  122559	 C2H4   	  260349	  0.40274
DAZ    	  122562	 C2H4   	  126597	  0.40299
DAZ    	  122569	 C2H4   	  200866	  0.38393
DAZ    	  122572	 C2H4   	  132298	  0.40817
DAZ    	  122579	 C2H4   	  170400	  0.40804
DAZ    	  122582	 C2H4   	  157344	  0.41231
DAZ    	  122589	 C2H4   	  257562	  0.40137
DAZ    	  122592	 C2H4   	  218933	  0.39497
DAZ    	  122612	 C2H4   	  216650	  0.38393
DAZ    	  122619	 C2H4   	  152833	  0.40915
DAZ    	  122622	 C2H4   	  145275	  0.40866
DAZ    	  122662	 C2H4   	  158173	  0.40719
DAZ    	  122669	 C2H4   	  166428	  0.39051
DAZ    	  122672	 C2H4   	  244465	  0.39370
DAZ    	  122679	 C2H4   	  220670	  0.39862
DAZ    	  122692	 C2H4   	  222548	  0.40274
DAZ    	  122699	 C2H4   	  173346	  0.40546
DAZ    	  122712	 C2H4   	  279196	  0.40299
DAZ    	  122722	 C2H4   	  211430	  0.40509
DAZ    	  122742	 C2H4   	  132860	  0.38393
DAZ    	  122749	 C2H4   	  173815	  0.41352
DAZ    	  122762	 C2H4   	  243828	  0.40719
DAZ    	  122769	 C2H4   	  272972	  0.40299
DAZ    	  122772	 C2H4   	  248926	  0.39319
DAZ    	  122779	 C2H4   	  270468	  0.41449
DAZ    	  122789	 C2H4   	  156245	  0.38393
DAZ    	  122809	 C2H4   	  198905	  0.41388
DAZ    	  122812	 C2H4   	  207399	  0.40731
DAZ    	  122819	 C2H4   	  147867	  0.39535
DAZ    	  122832	 C2H4   	  154339	  0.40460
DAZ    	  122839	 C2H4   	  128098	  0.38380
DAZ    	  122849	 C2H4   	  158454	  0.39560
DAZ    	  122902	 C2H4   	  237875	  0.41280
DAZ    	  122939	 C2H4   	  188182	  0.38756
DAZ    	  122962	 C2H4   	  126430	  0.41061
DAZ    	  122969	 C2H4   	  143930	  0.40608
DAZ    	  122979	 C2H4   	  259930	  0.40373
DAZ    	  122982	 C2H4   	  180995	  0.41304
DAZ    	  122999	 C2H4   	  236179	  0.39370
DAZ    	  123042	 C2H4   	  148140	  0.40274
DAZ    	  123049	 C2H4   	  257959	  0.41340
DAZ    	  123052	 C2H4   	  180624	  0.39509
DAZ    	  123059	 C2H4   	  164005	  0.39875
DAZ    	  123062	 C2H4   	  149158	  0.41352
DAZ    	  123072	 C2H4   	  148476	  0.40311
DAZ    	  123079	 C2H4   	  206133	  0.39115
DAZ    	  123112	 C2H4   	  176863	  0.40162
DAZ    	  123119	 C2H4   	  176890	  0.38743
DAZ    	  123122	 C2H4   	  233907	  0.40262
DAZ    	  123129	 C2H4   	  262321	  0.39408
DAZ    	  123132	 C2H4   	  206811	  0.39762
DAZ    	  123152	 C2H4   	  155291	  0.40410
DAZ    	  123172	 C2H4   	  172712	  0.39711
DAZ    	  123202	 C2H4   	  213095	  0.39699
DAZ    	  123209	 C2H4   	  167036	  0.38923
DAZ    	  123222	 C2H4   	  139591	  0.40012
DAZ    	  123229	 C2H4   	  238269	  0.40311
DAZ    	  123249	 C2H4   	  219689	  0.39711
DAZ    	  123282	 C2H4   	  236156	  0.39925
DAZ    	  123292	 C2H4   	  131733	  0.41158
DAZ    	  123362	 C2H4   	  153344	  0.37696
DAZ    	  123369	 C2H4   	  218000	  0.40373
DAZ    	  123379	 C2H4   	  189733	  0.40608
DAZ    	  123389	 C2H4   	  272475	  0.40755
DAZ    	  123392	 C2H4   	  144511	  0.40719
DAZ    	  123399	 C2H4   	  152673	  0.38536
DAZ    	  123402	 C2H4   	  142156	  0.39217
DAZ    	  123412	 C2H4   	  224271	  0.41413
DAZ    	  123499	 C2H4   	  163769	  0.37947
DAZ    	  123502	 C2H4   	  147863	  0.41012
DAZ    	  123519	 C2H4   	  163700	  0.37776
DAZ    	  123529	 C2H4   	  132049	  0.38131
DAZ    	  123539	 C2H4   	  125153	  0.40939
DAZ    	  123549	 C2H4   	  139483	  0.38613
DAZ    	  123592	 C2H4   	  152727	  0.40853
DAZ    	  123599	 C2H4   	  277423	  0.40509
DAZ    	  123612	 C2H4   	  250235	  0.40804
DAZ    	  123619	 C2H4   	  276032	  0.39975
DAZ    	  123632	 C2H4   	  246892	  0.40669
DAZ    	  123662	 C2H4   	  150290	  0.40866
DAZ    	  282809	 C2H4   	  251661	  0.39102
DAZ    	  282812	 C2H4   	  187744	  0.39912
DAZ    	  282819	 C2H4   	  267338	  0.38184
DAZ    	  282832	 C2H4   	  171487	  0.39560
DAZ    	  282839	 C2H4   	  144366	  0.40755
DAZ    	  282869	 C2H4   	  145656	  0.40902
DAZ    	  282879	 C2H4   	  223806	  0.40410
DAZ    	  282882	 C2H4   	  256133	  0.40853
DAZ    	  282889	 C2H4   	  198705	  0.40311
DAZ    	  282892	 C2H4   	  263507	  0.40262
DAZ    	  282919	 C2H4   	  144485	  0.39812
DAZ    	  282932	 C2H4   	  152955	  0.41158
DAZ    	  282939	 C2H4   	  151773	  0.40311
DAZ    	  282982	 C2H4   	  147865	  0.39408
DAZ    	  283009	 C2H4   	  125443	  0.41061
DAZ    	  283019	 C2H4   	  162851	  0.41388
DAZ    	  283022	 C2H4   	  191908	  0.39825
DAZ    	  283062	 C2H4   	  198852	  0.40299
DAZ    	  283069	 C2H4   	  132590	  0.40373
DAZ    	  283082	 C2H4   	  281837	  0.40472
DAZ    	  283102	 C2H4   	  152877	  0.40075
DAZ    	  283112	 C2H4   	  127230	  0.40509
DAZ    	  283119	 C2H4   	  134261	  0.39812
DAZ    	  283129	 C2H4   	  150306	  0.40768
DAZ    	  283152	 C2H4   	  162695	  0.40571
DAZ    	  283159	 C2H4   	  257216	  0.39522
DAZ    	  283172	 C2H4   	  124001	  0.38549
DAZ    	  283179	 C2H4   	  231433	  0.37550
DAZ    	  283192	 C2H4   	  156053	  0.40768
DAZ    	  283202	 C2H4   	  151805	  0.38079
DAZ    	  283212	 C2H4   	  273123	  0.40373
DAZ    	  283219	 C2H4   	  226946	  0.39115
DAZ    	  283229	 C2H4   	  163717	  0.41340
DAZ    	  283232	 C2H4   	  177714	  0.40472
DAZ    	  283239	 C2H4   	  203300	  0.41085
DAZ    	  283249	 C2H4   	  206331	  0.41146
DAZ    	  283252	 C2H4   	  229916	  0.39674
DAZ    	  283259	 C2H4   	  151409	  0.41413
DAZ    	  283262	 C2H4   	  149588	  0.40608
